Index,Affluenza,Anomalous
10,0.797154793,1
10,0.774383505,1
10,0.989191438,1
10,1,1
10,0.999978256,1
10,0.978981976,1
10,0.793741515,1
10,0.568364016,1
10,0.448341164,1
10,0.287481128,1
11,0.174829967,1
11,0.180542792,0
11,0.17866358,0
11,0.257729143,0
11,0.531775781,0
11,0.742995355,0
11,0.748430789,0
11,0.561093233,0
11,0.573308954,0
11,0.57796586,0
11,0.576418013,0
11,0.574881928,0
11,0.576345271,0
11,0.572535327,0
11,0.594248918,0
11,0.862601996,0
11,0.999880128,0
11,0.999880128,0
11,0.999880128,0
11,1,0
11,0.79032074,0
11,0.490113066,0
11,0,0
12,0.279499067,0
12,0.180543094,0
12,0.179445372,0
12,0.246937358,0
12,0.497995297,0
12,0.58826974,0
12,0.71870282,0
12,0.565107125,0
12,0.57255215,0
12,0.572010685,0
12,0.574242344,0
12,0.577444066,0
12,0.575746133,0
12,0.553693554,0
12,0.562102499,0
12,0.785459831,0
12,0.998153547,0
12,1,0
12,1,0
12,1,0
12,0.851586483,0
12,0.495967527,0
12,0,0
13,0.245163934,0
13,0.181133349,0
13,0.180976651,0
13,0.221740888,0
13,0.431409969,0
13,0.575938656,0
13,0.574651902,0
13,0.569877049,0
13,0.535433375,0
13,0.568735801,0
13,0.574962256,0
13,0.574962256,0
13,0.530155038,0
13,0.574962256,0
13,0.489004381,0
13,0.751542316,0
13,0.933153783,0
13,1,0
13,1,0
13,1,0
13,0.999902183,0
13,0.789522561,0
13,0.527413825,0
14,0,0
14,0.158485507,1
14,0.172347568,1
14,0.431221692,1
14,0.751018559,1
14,0.975739634,1
14,1,1
14,0.971111994,1
14,0.862443384,1
14,0.860541508,1
14,0.862443384,1
14,0.757730227,1
14,0.54657014,1
14,0.498132567,1
14,0.574403195,1
14,0.574962256,1
14,0.574962256,1
14,0,1
14,0,1
14,0.227760798,1
14,0.184875226,1
14,0.181359607,1
14,0.181357212,1
15,0.181356337,1
15,0.181356337,1
15,0.181356337,1
15,0.181354517,1
15,0.181347182,1
15,0.181190535,1
15,0.177700758,1
15,0.162630259,1
15,0,1
15,0,1
15,0,1
15,0.568469803,1
15,0.574962256,1
15,0.545302644,1
15,0.734069348,1
15,0.862443384,1
15,1,1
15,1,1
15,1,1
15,1,1
15,0.80864292,1
15,0.526112077,1
15,0,1
16,0.287481128,1
16,0.181335198,0
16,0.180668635,0
16,0.2536321,0
16,0.487112137,0
16,0.573416539,0
16,0.563520477,0
16,0.560919104,0
16,0.547067011,0
16,0.572263206,0
16,0.555750434,0
16,0.563714693,0
16,0.572731045,0
16,0.571959942,0
16,0.561465749,0
16,0.782432894,0
16,0.978202652,0
16,1,0
16,1,0
16,1,0
16,0.807432928,0
16,0.489532231,0
16,0,0
17,0.231627463,0
17,0.180859585,0
17,0.179774978,0
17,0.24413346,0
17,0.467883098,0
17,0.568324353,0
17,0.571828062,0
17,0.575073492,0
17,0.567901517,0
17,0.563492302,0
17,0.573864406,0
17,0.575645605,0
17,0.575395151,0
17,0.564295856,0
17,0.553199022,0
17,0.781733854,0
17,0.973502396,0
17,1,0
17,1,0
17,1,0
17,1,0
17,0.790573102,0
17,0.473689894,0
18,0,0
18,0.006736051,0
18,0,0
18,0.032134336,0
18,0.312375682,0
18,0.472163057,0
18,0.469657081,0
18,0.660440612,0
18,0.658228964,0
18,0.498593206,0
18,0.486972052,0
18,0.485904065,0
18,0.480662892,0
18,0.48486787,0
18,0.512567388,0
18,0.834303693,0
18,1,0
18,1,0
18,1,0
18,0.999955162,0
18,0.633048572,0
18,0.342869348,0
18,0.137217619,0
19,0.018428706,0
19,0.001749178,0
